parameter,standard,estimator,fitted_to,true,recovered_mean,recovered_sd,recovered_sem,n_seeds
omega (how readable the content is),not applicable,"maximum likelihood under an ANALYST'S model containing omega, which the observer's model does not. Asks whether the value is identifiable in principle, a strictly easier question.",an analyst holding the model,0.30000000000000004,0.290625,0.02393567769390846,0.005983919423477115,16
omega (how readable the content is),not applicable,"maximum likelihood under an ANALYST'S model containing omega, which the observer's model does not. Asks whether the value is identifiable in principle, a strictly easier question.",an analyst holding the model,0.4,0.39531250000000007,0.037880018919389864,0.009470004729847466,16
omega (how readable the content is),not applicable,"maximum likelihood under an ANALYST'S model containing omega, which the observer's model does not. Asks whether the value is identifiable in principle, a strictly easier question.",an analyst holding the model,0.5,0.4890625,0.04079292218020179,0.010198230545050448,16
omega (how readable the content is),not applicable,"maximum likelihood under an ANALYST'S model containing omega, which the observer's model does not. Asks whether the value is identifiable in principle, a strictly easier question.",an analyst holding the model,0.6000000000000001,0.5906250000000001,0.04170831252080732,0.01042707813020183,16
omega (how readable the content is),not applicable,"maximum likelihood under an ANALYST'S model containing omega, which the observer's model does not. Asks whether the value is identifiable in principle, a strictly easier question.",an analyst holding the model,0.7000000000000001,0.6890625,0.03158157426939536,0.00789539356734884,16
omega (how readable the content is),not applicable,"maximum likelihood under an ANALYST'S model containing omega, which the observer's model does not. Asks whether the value is identifiable in principle, a strictly easier question.",an analyst holding the model,0.8,0.7890625,0.028822372675868797,0.007205593168967199,16
omega (how readable the content is),not applicable,"maximum likelihood under an ANALYST'S model containing omega, which the observer's model does not. Asks whether the value is identifiable in principle, a strictly easier question.",an analyst holding the model,0.9,0.8890625,0.030233466556119554,0.007558366639029888,16
omega (how readable the content is),not applicable,"maximum likelihood under an ANALYST'S model containing omega, which the observer's model does not. Asks whether the value is identifiable in principle, a strictly easier question.",an analyst holding the model,1.0,0.996875,0.008539125638299635,0.002134781409574909,16
mu (depth of the maker's thinking),not applicable,"posterior mean, read off the reader's own belief. Asks whether the READER can identify the value.",the reader,1.0,1.5573536054054378,0.07777620350322205,0.02749804045603661,8
mu (depth of the maker's thinking),not applicable,"posterior mean, read off the reader's own belief. Asks whether the READER can identify the value.",the reader,2.0,2.140675666327624,0.24499054136446294,0.08661723656268755,8
mu (depth of the maker's thinking),not applicable,"posterior mean, read off the reader's own belief. Asks whether the READER can identify the value.",the reader,3.0,2.1932505991615208,0.2374738145250714,0.08395967230245721,8
theta (the value-alignment gate),not applicable,"matched to the observed prior drift across a sequence of encounters, because theta enters no observation likelihood at all.",an analyst holding the model,0.0,0.0,0.0,0.0,4
theta (the value-alignment gate),not applicable,"matched to the observed prior drift across a sequence of encounters, because theta enters no observation likelihood at all.",an analyst holding the model,1.0,1.0,0.0,0.0,4
theta (the value-alignment gate),not applicable,"matched to the observed prior drift across a sequence of encounters, because theta enters no observation likelihood at all.",an analyst holding the model,2.0,2.0,0.0,0.0,4
theta (the value-alignment gate),not applicable,"matched to the observed prior drift across a sequence of encounters, because theta enters no observation likelihood at all.",an analyst holding the model,3.0,3.0,0.0,0.0,4
theta (the value-alignment gate),not applicable,"matched to the observed prior drift across a sequence of encounters, because theta enters no observation likelihood at all.",an analyst holding the model,4.0,4.0,0.0,0.0,4
theta (the value-alignment gate),not applicable,"matched to the observed prior drift across a sequence of encounters, because theta enters no observation likelihood at all.",an analyst holding the model,5.0,5.0,0.0,0.0,4
theta (the value-alignment gate),not applicable,"matched to the observed prior drift across a sequence of encounters, because theta enters no observation likelihood at all.",an analyst holding the model,6.0,6.119791666666667,0.10259226876870926,0.05129613438435463,4
theta (the value-alignment gate),not applicable,"matched to the observed prior drift across a sequence of encounters, because theta enters no observation likelihood at all.",an analyst holding the model,7.0,7.104166666666667,0.1839950180484968,0.0919975090242484,4
theta (the value-alignment gate),not applicable,"matched to the observed prior drift across a sequence of encounters, because theta enters no observation likelihood at all.",an analyst holding the model,8.0,7.182291666666667,0.3273662965694998,0.1636831482847499,4
